Project Name,Package Name,Type Name,Code Smell
books-core,com.sismics.util,TestResourceUtil,Unutilized Abstraction
books-core,com.sismics.util,LocaleUtil,Unutilized Abstraction
books-core,com.sismics.util,HttpUtil,Unutilized Abstraction
books-core,com.sismics.books,BaseTransactionalTest,Unutilized Abstraction
books-core,com.sismics.books.core.dao.jpa,TestJpa,Unutilized Abstraction
books-core,com.sismics.books.core.dao.jpa,AuthenticationTokenDao,Unutilized Abstraction
books-core,com.sismics.books.core.dao.jpa,RoleBaseFunctionDao,Unutilized Abstraction
books-core,com.sismics.books.core.util.math,MathUtilTest,Unutilized Abstraction
books-core,com.sismics.util.jpa,SessionUtil,Unutilized Abstraction
books-core,com.sismics.util.jpa,DbOpenHelper,Unutilized Abstraction
books-core,com.sismics.util.jpa,SuppliedConnectionProviderConnectionHelper,Unutilized Abstraction
books-core,com.sismics.util.log4j,MemoryAppender,Unutilized Abstraction
books-core,com.sismics.util.context,ThreadLocalContext,Deficient Encapsulation
books-core,com.sismics.books.core.dao.file.theme,ThemeDao,Unutilized Abstraction
books-core,com.sismics.books.core.service.facebook,AuthenticationException,Unutilized Abstraction
books-core,com.sismics.books.core.service.facebook,PermissionException,Unutilized Abstraction
books-core,com.sismics.books.core.util,StreamUtil,Unutilized Abstraction
books-core,com.sismics.books.core.util,EntityManagerUtil,Unutilized Abstraction
books-core,com.sismics.books.core.util.mime,MimeType,Deficient Encapsulation
books-core,com.sismics.books.core.util.mime,MimeType,Broken Modularization
books-core,com.sismics.books.core.listener.async,UserAppCreatedAsyncListener,Unutilized Abstraction
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,Unutilized Abstraction
books-core,com.sismics.books.core.listener.sync,DeadEventListener,Unutilized Abstraction
books-core,com.sismics.books.core.model.jpa,RoleBaseFunction,Unutilized Abstraction
books-core,com.sismics.books.core.model.jpa,Book,Insufficient Modularization
books-core,com.sismics.books.core.model.jpa,Role,Unutilized Abstraction
books-core,com.sismics.books.core.model.jpa,UserApp,Insufficient Modularization
books-core,com.sismics.books.core.model.jpa,App,Unutilized Abstraction 
books-core,com.sismics.books.core.model.jpa,User,Insufficient Modularization
books-core,com.sismics.books.core.model.jpa,BaseFunction,Unutilized Abstraction
books-core,com.sismics.books.core.constant,Constants,Unnecessary Abstraction
books-core,com.sismics.books.core.constant,Constants,Deficient Encapsulation
books-core,com.sismics.books.core.constant,Constants,Broken Modularization
