Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
books-core,com.sismics.util,TestResourceUtil,listFilesTest,10,1,0
books-core,com.sismics.util,ResourceUtil,list,45,11,3
books-core,com.sismics.util,ResourceUtil,list,3,1,2
books-core,com.sismics.util,LocaleUtil,getLocale,13,3,1
books-core,com.sismics.util,LocaleUtil,getLocaleIdFromAcceptLanguage,21,5,1
books-core,com.sismics.util,HttpUtil,readUrlIntoString,29,4,1
books-core,com.sismics.util,HttpUtil,postUrl,34,4,2
books-core,com.sismics.util,EnvironmentUtil,isWindows,3,1,0
books-core,com.sismics.util,EnvironmentUtil,isMacOs,3,1,0
books-core,com.sismics.util,EnvironmentUtil,isUnix,3,1,0
books-core,com.sismics.util,EnvironmentUtil,isUnitTest,3,1,0
books-core,com.sismics.util,EnvironmentUtil,getWindowsAppData,3,1,0
books-core,com.sismics.util,EnvironmentUtil,getMacOsUserHome,3,1,0
books-core,com.sismics.util,EnvironmentUtil,getBooksHome,3,1,0
books-core,com.sismics.util,EnvironmentUtil,getWebappRoot,3,1,0
books-core,com.sismics.util,EnvironmentUtil,setWebappRoot,3,1,1
books-core,com.sismics.books,BaseTransactionalTest,setUp,7,1,0
books-core,com.sismics.books,BaseTransactionalTest,tearDown,2,1,0
books-core,com.sismics.books.core.dao.jpa,TestJpa,testJpa,13,1,0
books-core,com.sismics.books.core.dao.jpa,ConfigDao,getById,12,2,1
books-core,com.sismics.books.core.dao.jpa,UserDao,authenticate,15,2,2
books-core,com.sismics.books.core.dao.jpa,UserDao,create,15,2,1
books-core,com.sismics.books.core.dao.jpa,UserDao,update,11,1,1
books-core,com.sismics.books.core.dao.jpa,UserDao,updatePassword,8,1,1
books-core,com.sismics.books.core.dao.jpa,UserDao,getById,9,1,1
books-core,com.sismics.books.core.dao.jpa,UserDao,getActiveByUsername,11,1,1
books-core,com.sismics.books.core.dao.jpa,UserDao,getActiveByPasswordResetKey,11,1,1
books-core,com.sismics.books.core.dao.jpa,UserDao,delete,11,1,1
books-core,com.sismics.books.core.dao.jpa,UserDao,hashPassword,3,1,1
books-core,com.sismics.books.core.dao.jpa,UserDao,findAll,25,3,2
books-core,com.sismics.books.core.dao.jpa,BookDao,create,5,1,1
books-core,com.sismics.books.core.dao.jpa,BookDao,getById,9,1,1
