Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
books-core,com.sismics.util,TestResourceUtil,0,0,1,1,16,1,0,0,-1.0,0,1
books-core,com.sismics.util,ResourceUtil,0,0,2,2,71,12,0,0,-1.0,3,1
books-core,com.sismics.util,LocaleUtil,0,0,2,2,50,8,0,0,-1.0,0,3
books-core,com.sismics.util,HttpUtil,1,0,2,2,78,8,0,0,1.0,0,0
books-core,com.sismics.util,EnvironmentUtil,6,0,9,9,78,9,0,0,0.5555555555555556,3,1
books-core,com.sismics.books,BaseTransactionalTest,0,0,2,2,15,2,0,0,-1.0,0,2
books-core,com.sismics.books.core.dao.jpa,TestJpa,0,0,1,1,19,1,0,0,-1.0,0,3
books-core,com.sismics.books.core.dao.jpa,ConfigDao,0,0,1,1,23,2,0,0,-1.0,1,2
books-core,com.sismics.books.core.dao.jpa,UserDao,0,0,10,9,176,14,0,0,-1.0,1,8
books-core,com.sismics.books.core.dao.jpa,BookDao,0,0,3,3,47,3,0,0,-1.0,1,2
books-core,com.sismics.books.core.dao.jpa,UserBookDao,0,0,6,6,140,14,0,0,-1.0,1,8
books-core,com.sismics.books.core.dao.jpa,UserContactDao,0,0,5,5,114,11,0,0,-1.0,1,7
books-core,com.sismics.books.core.dao.jpa,LocaleDao,0,0,2,2,29,2,0,0,-1.0,1,2
books-core,com.sismics.books.core.dao.jpa,AuthenticationTokenDao,0,0,7,7,95,8,0,0,-1.0,0,2
books-core,com.sismics.books.core.dao.jpa,RoleBaseFunctionDao,0,0,1,1,20,1,0,0,-1.0,0,1
books-core,com.sismics.books.core.dao.jpa,UserAppDao,0,0,9,9,182,12,0,0,-1.0,1,3
books-core,com.sismics.books.core.dao.jpa,TagDao,0,0,9,9,149,11,0,0,-1.0,1,4
books-core,com.sismics.books.core.util.math,MathUtilTest,0,0,1,1,11,1,0,0,-1.0,0,1
books-core,com.sismics.books.core.util.math,MathUtil,0,0,3,3,51,7,0,0,-1.0,2,0
books-core,com.sismics.util.jpa,SessionUtil,0,0,2,1,19,2,0,0,-1.0,0,1
books-core,com.sismics.util.jpa,DbOpenHelper,7,0,10,8,173,23,0,0,0.2,0,2
books-core,com.sismics.util.jpa,EMF,2,0,5,3,74,7,0,0,1.0,4,2
books-core,com.sismics.util.jpa,SuppliedConnectionProviderConnectionHelper,3,0,4,4,37,7,0,0,0.0,0,0
books-core,com.sismics.util.jpa,ManagedProviderConnectionHelper,3,0,7,4,61,10,0,0,0.0,1,1
books-core,com.sismics.util.log4j,LogEntry,4,0,5,5,63,5,0,0,0.0,1,0
books-core,com.sismics.util.log4j,LogCriteria,3,0,6,6,60,6,0,0,0.5,1,0
books-core,com.sismics.util.log4j,MemoryAppender,2,0,7,6,88,14,0,0,0.42857142857142855,0,3
books-core,com.sismics.util.context,ThreadLocalContext,2,1,6,5,58,7,0,0,0.5,15,1
books-core,com.sismics.books.core.dao.jpa.dto,TagDto,3,0,6,6,60,6,0,0,0.5,1,0
books-core,com.sismics.books.core.dao.jpa.dto,UserDto,5,0,10,10,96,10,0,0,0.5,1,0
books-core,com.sismics.books.core.dao.jpa.dto,UserBookDto,8,0,16,16,150,16,0,0,0.5,1,0
books-core,com.sismics.books.core.dao.jpa.dto,UserAppDto,6,0,12,12,114,12,0,0,0.5,1,0
books-core,com.sismics.books.core.dao.jpa.dto,UserContactDto,3,0,6,6,60,6,0,0,0.5,1,0
books-core,com.sismics.books.core.dao.jpa.criteria,UserBookCriteria,4,0,8,8,78,8,0,0,0.5,1,0
books-core,com.sismics.books.core.dao.jpa.criteria,UserContactCriteria,3,0,6,6,60,6,0,0,0.5,1,0
books-core,com.sismics.books.core.dao.file.theme,ThemeDao,1,0,2,2,25,3,0,0,1.0,0,1
books-core,com.sismics.books.core.service,BookDataService,8,0,9,5,224,25,0,0,0.0,1,7
books-core,com.sismics.books.core.service,FacebookService,3,0,11,6,174,33,0,0,0.5454545454545454,2,8
books-core,com.sismics.books.core.service.facebook,AuthenticationException,1,0,1,1,17,1,0,0,0.0,0,0
books-core,com.sismics.books.core.service.facebook,PermissionException,1,0,1,1,17,1,0,0,0.0,0,0
books-core,com.sismics.books.core.util.jpa,PaginatedList,4,0,7,7,73,7,0,0,0.42857142857142855,5,0
books-core,com.sismics.books.core.util.jpa,SortCriteria,2,0,3,3,39,5,0,0,0.0,3,0
books-core,com.sismics.books.core.util.jpa,QueryParam,2,0,3,3,37,3,0,0,0.0,5,0
books-core,com.sismics.books.core.util.jpa,PaginatedLists,2,0,6,5,92,9,0,0,0.8333333333333334,4,5
books-core,com.sismics.books.core.util.jpa,QueryUtil,0,0,1,1,19,2,0,0,-1.0,1,2
books-core,com.sismics.books.core.util,TransactionUtil,1,0,2,2,70,7,0,0,1.0,5,2
books-core,com.sismics.books.core.util,StreamUtil,0,0,1,1,24,2,0,0,-1.0,0,0
books-core,com.sismics.books.core.util,EntityManagerUtil,0,0,1,1,12,1,0,0,-1.0,0,1
books-core,com.sismics.books.core.util,ConfigUtil,0,0,4,4,47,5,0,0,-1.0,4,3
books-core,com.sismics.books.core.util,DirectoryUtil,0,0,6,5,82,14,0,0,-1.0,4,2
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,0,0,2,2,50,9,0,0,-1.0,1,1
books-core,com.sismics.books.core.util.mime,MimeType,6,6,0,0,12,0,0,0,-1.0,2,0
books-core,com.sismics.books.core.event,UserAppCreatedEvent,1,0,3,3,27,3,0,0,0.0,1,1
books-core,com.sismics.books.core.event,BookImportedEvent,2,0,5,5,45,5,0,0,0.0,1,1
books-core,com.sismics.books.core.listener.async,UserAppCreatedAsyncListener,1,0,2,2,40,7,0,0,0.0,0,5
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,1,0,2,2,101,27,0,0,0.0,0,10
books-core,com.sismics.books.core.listener.sync,DeadEventListener,1,0,1,1,17,1,0,0,0.0,0,0
