Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
books-web-common,com.sismics.books.rest.util,TestValidationUtil,testValidateHttpUrlFail,17,1,0
books-web-common,com.sismics.books.rest.util,ClientUtil,ClientUtil,3,1,1
books-web-common,com.sismics.books.rest.util,ClientUtil,createUser,13,1,1
books-web-common,com.sismics.books.rest.util,ClientUtil,login,10,1,3
books-web-common,com.sismics.books.rest.util,ClientUtil,login,3,1,1
books-web-common,com.sismics.books.rest.util,ClientUtil,logout,6,1,1
books-web-common,com.sismics.books.rest.util,ClientUtil,getAuthenticationCookie,9,3,1
books-web-common,com.sismics.books.rest,BaseJerseyTest,BaseJerseyTest,4,1,0
books-web-common,com.sismics.books.rest,BaseJerseyTest,setUp,7,1,0
books-web-common,com.sismics.books.rest,BaseJerseyTest,tearDown,4,1,0
books-web-common,com.sismics.books.rest.filter,CookieAuthenticationFilter,CookieAuthenticationFilter,3,1,1
books-web-common,com.sismics.books.rest.filter,CookieAuthenticationFilter,handle,13,3,1
books-web-common,com.sismics.books.rest.descriptor,JerseyTestWebAppDescriptorFactory,build,5,1,0
books-web-common,com.sismics.util.filter,RequestContextFilter,init,31,2,1
books-web-common,com.sismics.util.filter,RequestContextFilter,run,3,1,0
books-web-common,com.sismics.util.filter,RequestContextFilter,destroy,2,1,0
books-web-common,com.sismics.util.filter,RequestContextFilter,doFilter,59,7,3
books-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,init,2,1,1
books-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,destroy,2,1,0
books-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,doFilter,44,9,3
books-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,isTokenExpired,11,2,1
books-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,injectAuthenticatedUser,9,1,2
books-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,injectAnonymousUser,6,1,1
books-web-common,com.sismics.security,IPrincipal,isAnonymous,0,1,0
books-web-common,com.sismics.security,IPrincipal,getId,0,1,0
books-web-common,com.sismics.security,IPrincipal,getLocale,0,1,0
books-web-common,com.sismics.security,IPrincipal,getDateTimeZone,0,1,0
books-web-common,com.sismics.security,IPrincipal,getEmail,0,1,0
books-web-common,com.sismics.security,UserPrincipal,UserPrincipal,4,1,2
books-web-common,com.sismics.security,UserPrincipal,isAnonymous,3,1,0
books-web-common,com.sismics.security,UserPrincipal,getId,3,1,0
books-web-common,com.sismics.security,UserPrincipal,setId,3,1,1
books-web-common,com.sismics.security,UserPrincipal,getName,3,1,0
books-web-common,com.sismics.security,UserPrincipal,setName,3,1,1
books-web-common,com.sismics.security,UserPrincipal,getLocale,3,1,0
books-web-common,com.sismics.security,UserPrincipal,setLocale,3,1,1
books-web-common,com.sismics.security,UserPrincipal,getDateTimeZone,3,1,0
books-web-common,com.sismics.security,UserPrincipal,setDateTimeZone,3,1,1
books-web-common,com.sismics.security,UserPrincipal,getEmail,3,1,0
books-web-common,com.sismics.security,UserPrincipal,setEmail,3,1,1
books-web-common,com.sismics.security,UserPrincipal,getBaseFunctionSet,3,1,0
books-web-common,com.sismics.security,UserPrincipal,setBaseFunctionSet,3,1,1
books-web-common,com.sismics.security,AnonymousPrincipal,AnonymousPrincipal,2,1,0
books-web-common,com.sismics.security,AnonymousPrincipal,getId,3,1,0
books-web-common,com.sismics.security,AnonymousPrincipal,getName,3,1,0
books-web-common,com.sismics.security,AnonymousPrincipal,isAnonymous,3,1,0
books-web-common,com.sismics.security,AnonymousPrincipal,getLocale,3,1,0
books-web-common,com.sismics.security,AnonymousPrincipal,setLocale,3,1,1
books-web-common,com.sismics.security,AnonymousPrincipal,getDateTimeZone,3,1,0
books-web-common,com.sismics.security,AnonymousPrincipal,getEmail,3,1,0
books-web-common,com.sismics.security,AnonymousPrincipal,setDateTimeZone,3,1,1
books-web-common,com.sismics.rest.resource,GenericExceptionMapper,toResponse,15,2,1
books-web-common,com.sismics.rest.util,JsonUtil,append,19,4,3
books-web-common,com.sismics.rest.util,ValidationUtil,validateRequired,5,2,2
books-web-common,com.sismics.rest.util,ValidationUtil,validateLength,16,5,5
books-web-common,com.sismics.rest.util,ValidationUtil,validateLength,3,1,4
books-web-common,com.sismics.rest.util,ValidationUtil,validateStringNotBlank,3,1,2
books-web-common,com.sismics.rest.util,ValidationUtil,validateHexColor,3,1,3
books-web-common,com.sismics.rest.util,ValidationUtil,validateEmail,5,2,2
books-web-common,com.sismics.rest.util,ValidationUtil,validateHttpUrl,7,2,2
books-web-common,com.sismics.rest.util,ValidationUtil,validateAlphanumeric,5,2,2
books-web-common,com.sismics.rest.util,ValidationUtil,validateDate,16,3,3
books-web-common,com.sismics.rest.util,ValidationUtil,validateLocale,17,4,3
books-web-common,com.sismics.rest.util,ValidationUtil,validateTheme,17,4,3
books-web-common,com.sismics.rest.exception,ForbiddenClientException,ForbiddenClientException,3,1,0
books-web-common,com.sismics.rest.exception,ClientException,ClientException,4,1,3
books-web-common,com.sismics.rest.exception,ClientException,ClientException,3,1,2
books-web-common,com.sismics.rest.exception,ServerException,ServerException,4,1,3
books-web-common,com.sismics.rest.exception,ServerException,ServerException,3,1,2
