Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
books-web,com.sismics.books.rest,TestTagResource,testTagResource,86,1,0
books-web,com.sismics.books.rest,TestThemeResource,testThemeResource,9,1,0
books-web,com.sismics.books.rest,TestSecurity,testSecurity,37,1,0
books-web,com.sismics.books.rest,TestUserResource,testUserResource,153,1,0
books-web,com.sismics.books.rest,TestUserResource,testUserResourceAdmin,63,1,0
books-web,com.sismics.books.rest,TestConnectResource,testListApp,12,1,0
books-web,com.sismics.books.rest,TestConnectResource,testFacebook,122,1,0
books-web,com.sismics.books.rest,TestLocaleResource,testLocaleResource,9,1,0
books-web,com.sismics.books.rest,TestBookResource,testBookResource,151,1,0
books-web,com.sismics.books.rest,TestBookResource,testBookImportResource,31,1,0
books-web,com.sismics.books.rest,TestAppResource,testAppResource,22,1,0
books-web,com.sismics.books.rest,TestAppResource,testLogResource,25,1,0
books-web,com.sismics.books.rest.model,FacebookUser,FacebookUser,6,1,4
books-web,com.sismics.books.rest.resource,AppResource,info,15,2,0
books-web,com.sismics.books.rest.resource,AppResource,update,13,2,1
books-web,com.sismics.books.rest.resource,AppResource,log,31,4,5
books-web,com.sismics.books.rest.resource,ThemeResource,list,13,2,0
books-web,com.sismics.books.rest.resource,TagResource,list,18,3,0
books-web,com.sismics.books.rest.resource,TagResource,add,23,4,2
books-web,com.sismics.books.rest.resource,TagResource,update,28,7,3
books-web,com.sismics.books.rest.resource,TagResource,delete,14,3,1
books-web,com.sismics.books.rest.resource,BookResource,add,32,4,1
books-web,com.sismics.books.rest.resource,BookResource,delete,14,3,1
books-web,com.sismics.books.rest.resource,BookResource,add,77,17,10
books-web,com.sismics.books.rest.resource,BookResource,update,78,20,11
books-web,com.sismics.books.rest.resource,BookResource,get,41,6,1
books-web,com.sismics.books.rest.resource,BookResource,cover,18,2,1
books-web,com.sismics.books.rest.resource,BookResource,updateCover,21,3,2
books-web,com.sismics.books.rest.resource,BookResource,list,52,6,7
books-web,com.sismics.books.rest.resource,BookResource,importFile,31,3,1
books-web,com.sismics.books.rest.resource,BookResource,read,11,2,2
books-web,com.sismics.books.rest.resource,BaseResource,authenticate,10,2,0
books-web,com.sismics.books.rest.resource,BaseResource,checkBaseFunction,5,2,1
books-web,com.sismics.books.rest.resource,BaseResource,hasBaseFunction,7,2,1
books-web,com.sismics.books.rest.resource,TextPlainMessageBodyWriter,isWriteable,3,1,4
books-web,com.sismics.books.rest.resource,TextPlainMessageBodyWriter,getSize,3,1,5
books-web,com.sismics.books.rest.resource,TextPlainMessageBodyWriter,writeTo,10,1,7
books-web,com.sismics.books.rest.resource,LocaleResource,list,13,2,0
books-web,com.sismics.books.rest.resource,UserResource,register,33,3,4
books-web,com.sismics.books.rest.resource,UserResource,update,31,7,5
books-web,com.sismics.books.rest.resource,UserResource,update,32,7,5
books-web,com.sismics.books.rest.resource,UserResource,checkUsername,13,2,1
books-web,com.sismics.books.rest.resource,UserResource,login,19,2,3
books-web,com.sismics.books.rest.resource,UserResource,logout,30,7,0
books-web,com.sismics.books.rest.resource,UserResource,delete,13,3,0
books-web,com.sismics.books.rest.resource,UserResource,delete,20,4,1
books-web,com.sismics.books.rest.resource,UserResource,info,25,3,0
books-web,com.sismics.books.rest.resource,UserResource,view,17,3,1
books-web,com.sismics.books.rest.resource,UserResource,list,23,3,4
books-web,com.sismics.books.rest.resource,UserResource,session,27,7,0
books-web,com.sismics.books.rest.resource,UserResource,deleteSession,18,5,0
books-web,com.sismics.books.rest.resource,ConnectResource,list,19,3,0
books-web,com.sismics.books.rest.resource,ConnectResource,add,41,3,2
books-web,com.sismics.books.rest.resource,ConnectResource,remove,11,2,1
books-web,com.sismics.books.rest.resource,ConnectResource,update,16,3,2
books-web,com.sismics.books.rest.resource,ConnectResource,contactList,30,4,4
books-web,com.sismics.books.rest.resource,ConnectResource,getAppId,10,1,1
